Governo Federal 2018, Poder Executivo por Órgão Superior e UO;;;;;;;;;;
;;;;;;;;;;
Filtro do relatório:;;;;;;;;;;
({Esfera Orçamentária} = 1:ORCAMENTO FISCAL, 2:ORCAMENTO DE SEGURIDADE SOCIAL) E ({Mês Lançamento} = 014/2018) E ({Item Informação} = DOTACAO INICIAL, DOTACAO ATUALIZADA, DESPESAS EMPENHADAS, DESPESAS LIQUIDADAS, DESPESAS INSCRITAS EM RP NAO PROCESSADOS, DESPESAS PAGAS) E ({UO - Poder} = 0:PODER EXECUTIVO);;;;;;;;;;
;;;;;;;;;;
Páginas:;;;;;;;;;;
Mês Lançamento: 014/2018;;;;;;;;;;
Métrica: Saldo - R$ (Item Informação);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
UO - Órgão Superior;;Unidade Orçamentária;;Item Informação;9;13;23;25;27;28
 ;; ;; ;DOTACAO INICIAL;DOTACAO ATUALIZADA;DESPESAS EMPENHADAS;DESPESAS LIQUIDADAS;DESPESAS INSCRITAS EM RP NAO PROCESSADOS;DESPESAS PAGAS
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;71102;RECURSOS SOB SUPERVISAO DO MPOG;;7.964.259.772,00;3.051.361.706,00;2.041.011.460,84;1.528.759.162,12;512.252.298,72;1.528.697.806,87
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;71103;ENCARGOS FINANC.DA UNIAO-SENTENCAS JUDICIAIS;;18.078.191.887,00;20.013.733.319,00;16.922.471.028,51;16.758.139.540,82;164.331.487,69;16.758.139.540,82
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;71904;FUNDO DE ESTAB.DO SEG.RURAL-FESR-R.S/SUP.MPDG;;320.917.465,00;320.917.465,00;41.301.897,68;41.300.011,03;1.886,65;40.863.964,13
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;73113;RECURSOS SOB SUPERVISAO DO MPOG;;6.005.110.005,00;5.569.706.252,00;5.434.954.533,59;5.322.200.846,37;112.753.687,22;4.950.155.868,01
22000;MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;22101;MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO;;5.496.035.395,00;5.776.169.207,00;5.681.813.504,41;4.482.156.353,51;1.199.657.150,90;4.221.114.672,52
22000;MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;22202;EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA;;3.444.052.285,00;3.747.684.111,00;3.738.049.409,24;3.479.016.491,79;259.032.917,45;3.285.315.114,49
22000;MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;22211;COMPANHIA NACIONAL DE ABASTECIMENTO;;2.622.338.869,00;2.603.817.078,00;1.432.774.838,84;1.384.253.337,94;48.521.500,90;1.312.796.996,03
22000;MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;22906;FUNDO DE DEFESA DA ECONOMIA CAFEEIRA;;45.576.174,00;45.326.006,00;9.632.125,73;8.332.551,36;1.299.574,37;8.317.496,41
22000;MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;74901;RECURSOS SOB SUPERVISAO DO FUNCAFE/MAPA;;5.461.565.707,00;5.461.565.707,00;5.077.515.113,83;4.125.497.679,61;952.017.434,22;4.125.497.679,61
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24101;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;;3.555.372.812,00;4.145.304.447,00;4.098.738.564,46;3.918.423.400,10;180.315.164,36;3.759.892.640,60
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24201;CONSELHO NAC.DE DESENV.CIENTIF.E TECNOLOGICO;;1.424.114.349,96;1.324.999.208,96;1.323.081.223,48;1.265.339.995,41;57.741.228,07;1.241.859.031,20
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24204;COMISSAO NACIONAL DE ENERGIA NUCLEAR - CNEN;;948.017.323,00;1.011.111.190,00;983.875.013,41;932.749.453,88;51.125.559,53;881.729.491,39
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24205;AGENCIA ESPACIAL BRASILEIRA - AEB;;182.721.976,00;179.333.915,00;177.923.234,86;110.846.823,75;67.076.411,12;107.484.656,72
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24206;INDUSTRIAS NUCLEARES DO BRASIL S/A - INB;;755.917.177,00;778.686.557,00;720.096.903,54;585.304.707,11;134.792.196,43;562.464.771,98
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24207;NUCLEBRAS EQUIPAMENTOS PESADOS S/A - NUCLEP;;424.515.286,00;424.661.705,00;401.058.528,56;400.703.361,93;355.166,63;368.003.248,58
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24209;CENTRO NAC DE TECN ELETRONICA AVANCADA S/A;;80.091.982,00;88.395.178,00;84.970.183,59;69.161.054,19;15.809.129,40;67.175.887,22
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24211;AGENCIA NACIONAL DE TELECOMUNICACOES - ANATEL;;614.177.389,00;620.588.719,00;592.317.065,60;507.164.438,84;85.152.626,76;481.232.155,56
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24901;FUNDO NACIONAL DE DESENV.CIENT.E TECNOLOGICO;;3.434.177.895,00;3.250.503.056,00;951.330.286,88;749.360.493,24;201.969.793,64;741.257.678,68
